 ******* Program HYDRUS
 ******* Infiltration and drainage in a large caisson                            
 Date:   1. 1.    Time: ***: 0:**
 Units: L = cm   , T = min  , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]
     153.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.15020E-04  0.00000E+00 -0.11963E-04 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.15020E-04    131  0.00000E+00      0.000
     154.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.15259E-04  0.00000E+00 -0.12153E-04 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.15259E-04    133  0.00000E+00      0.000
     155.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.15497E-04  0.00000E+00 -0.12344E-04 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.15497E-04    135  0.00000E+00      0.000
     156.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.15736E-04  0.00000E+00 -0.12535E-04 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.15736E-04    137  0.00000E+00      0.000
     157.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.15974E-04  0.00000E+00 -0.12726E-04 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.15974E-04    139  0.00000E+00      0.000
     158.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.16212E-04  0.00000E+00 -0.12916E-04 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.16212E-04    141  0.00000E+00      0.000
     159.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.16451E-04  0.00000E+00 -0.13107E-04 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.16451E-04    143  0.00000E+00      0.000
     160.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.16689E-04  0.00000E+00 -0.13298E-04 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.16689E-04    145  0.00000E+00      0.000
     161.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.16928E-04  0.00000E+00 -0.13489E-04 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.16928E-04    147  0.00000E+00      0.000
     162.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.17166E-04  0.00000E+00 -0.13679E-04 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.17166E-04    149  0.00000E+00      0.000
